;Longitude;Latitude;Data;Direcao_Verif
335;-42.75;-14.25;2017-01-14 23:00:00;172.2165
336;-42.75;-14.25;2017-01-15 00:00:00;115.43299999999999
337;-42.75;-14.25;2017-01-15 01:00:00;139.43349999999998
338;-42.75;-14.25;2017-01-15 02:00:00;161.067
339;-42.75;-14.25;2017-01-15 03:00:00;146.2165
340;-42.75;-14.25;2017-01-15 04:00:00;132.91649999999998
341;-42.75;-14.25;2017-01-15 05:00:00;124.23349999999999
342;-42.75;-14.25;2017-01-15 06:00:00;120.0
343;-42.75;-14.25;2017-01-15 07:00:00;124.0
344;-42.75;-14.25;2017-01-15 08:00:00;117.65
345;-42.75;-14.25;2017-01-15 09:00:00;115.75
346;-42.75;-14.25;2017-01-15 10:00:00;104.533
347;-42.75;-14.25;2017-01-15 11:00:00;120.167
348;-42.75;-14.25;2017-01-15 12:00:00;116.23349999999999
349;-42.75;-14.25;2017-01-15 13:00:00;114.01650000000001
350;-42.75;-14.25;2017-01-15 14:00:00;118.5
351;-42.75;-14.25;2017-01-15 15:00:00;123.017
352;-42.75;-14.25;2017-01-15 16:00:00;121.61699999999999
353;-42.75;-14.25;2017-01-15 17:00:00;127.30000000000001
354;-42.75;-14.25;2017-01-15 18:00:00;164.66649999999998
355;-42.75;-14.25;2017-01-15 19:00:00;97.5335
356;-42.75;-14.25;2017-01-15 20:00:00;132.517
357;-42.75;-14.25;2017-01-15 21:00:00;130.75
358;-42.75;-14.25;2017-01-15 22:00:00;119.683
359;-42.75;-14.25;2017-01-15 23:00:00;106.56649999999999
360;-42.75;-14.25;2017-01-16 00:00:00;108.917
361;-42.75;-14.25;2017-01-16 01:00:00;114.7165
362;-42.75;-14.25;2017-01-16 02:00:00;117.88300000000001
363;-42.75;-14.25;2017-01-16 03:00:00;113.2835
364;-42.75;-14.25;2017-01-16 04:00:00;114.76650000000001
365;-42.75;-14.25;2017-01-16 05:00:00;121.1
366;-42.75;-14.25;2017-01-16 06:00:00;121.55000000000001
367;-42.75;-14.25;2017-01-16 07:00:00;118.6335
368;-42.75;-14.25;2017-01-16 08:00:00;118.0835
369;-42.75;-14.25;2017-01-16 09:00:00;115.98349999999999
370;-42.75;-14.25;2017-01-16 10:00:00;117.35
371;-42.75;-14.25;2017-01-16 11:00:00;113.9
372;-42.75;-14.25;2017-01-16 12:00:00;110.5
373;-42.75;-14.25;2017-01-16 13:00:00;112.38300000000001
374;-42.75;-14.25;2017-01-16 14:00:00;119.9
375;-42.75;-14.25;2017-01-16 15:00:00;119.19999999999999
376;-42.75;-14.25;2017-01-16 16:00:00;104.18350000000001
377;-42.75;-14.25;2017-01-16 17:00:00;115.2165
378;-42.75;-14.25;2017-01-16 18:00:00;111.6335
379;-42.75;-14.25;2017-01-16 19:00:00;107.23349999999999
380;-42.75;-14.25;2017-01-16 20:00:00;110.30000000000001
381;-42.75;-14.25;2017-01-16 21:00:00;112.15
382;-42.75;-14.25;2017-01-16 22:00:00;101.4665
383;-42.75;-14.25;2017-01-16 23:00:00;98.717
384;-42.75;-14.25;2017-01-17 00:00:00;110.1835
385;-42.75;-14.25;2017-01-17 01:00:00;112.383
386;-42.75;-14.25;2017-01-17 02:00:00;117.1335
387;-42.75;-14.25;2017-01-17 03:00:00;117.01650000000001
388;-42.75;-14.25;2017-01-17 04:00:00;119.23349999999999
389;-42.75;-14.25;2017-01-17 05:00:00;120.81649999999999
390;-42.75;-14.25;2017-01-17 06:00:00;119.2
391;-42.75;-14.25;2017-01-17 07:00:00;115.18299999999999
392;-42.75;-14.25;2017-01-17 08:00:00;111.5335
393;-42.75;-14.25;2017-01-17 09:00:00;111.63300000000001
394;-42.75;-14.25;2017-01-17 10:00:00;118.13300000000001
395;-42.75;-14.25;2017-01-17 11:00:00;119.2835
396;-42.75;-14.25;2017-01-17 12:00:00;113.63300000000001
397;-42.75;-14.25;2017-01-17 13:00:00;106.95
398;-42.75;-14.25;2017-01-17 14:00:00;113.7
399;-42.75;-14.25;2017-01-17 15:00:00;132.6165
400;-42.75;-14.25;2017-01-17 16:00:00;134.8
401;-42.75;-14.25;2017-01-17 17:00:00;122.267
402;-42.75;-14.25;2017-01-17 18:00:00;110.8165
403;-42.75;-14.25;2017-01-17 19:00:00;108.6665
404;-42.75;-14.25;2017-01-17 20:00:00;102.983
405;-42.75;-14.25;2017-01-17 21:00:00;97.6165
406;-42.75;-14.25;2017-01-17 22:00:00;100.2
407;-42.75;-14.25;2017-01-17 23:00:00;98.3335
408;-42.75;-14.25;2017-01-18 00:00:00;113.68350000000001
409;-42.75;-14.25;2017-01-18 01:00:00;112.76650000000001
410;-42.75;-14.25;2017-01-18 02:00:00;115.06649999999999
411;-42.75;-14.25;2017-01-18 03:00:00;117.6335
412;-42.75;-14.25;2017-01-18 04:00:00;119.65
413;-42.75;-14.25;2017-01-18 05:00:00;119.55
414;-42.75;-14.25;2017-01-18 06:00:00;117.7165
415;-42.75;-14.25;2017-01-18 07:00:00;116.6165
416;-42.75;-14.25;2017-01-18 08:00:00;115.58349999999999
417;-42.75;-14.25;2017-01-18 09:00:00;118.25
418;-42.75;-14.25;2017-01-18 10:00:00;115.25
419;-42.75;-14.25;2017-01-18 11:00:00;116.65
420;-42.75;-14.25;2017-01-18 12:00:00;107.467
421;-42.75;-14.25;2017-01-18 13:00:00;104.3835
422;-42.75;-14.25;2017-01-18 14:00:00;102.5
423;-42.75;-14.25;2017-01-18 15:00:00;108.7
424;-42.75;-14.25;2017-01-18 16:00:00;126.73349999999999
425;-42.75;-14.25;2017-01-18 17:00:00;115.01650000000001
426;-42.75;-14.25;2017-01-18 18:00:00;110.7835
427;-42.75;-14.25;2017-01-18 19:00:00;100.0
428;-42.75;-14.25;2017-01-18 20:00:00;101.23349999999999
429;-42.75;-14.25;2017-01-18 21:00:00;97.9
430;-42.75;-14.25;2017-01-18 22:00:00;89.75
431;-42.75;-14.25;2017-01-18 23:00:00;112.80000000000001
432;-42.75;-14.25;2017-01-19 00:00:00;113.517
433;-42.75;-14.25;2017-01-19 01:00:00;112.667
434;-42.75;-14.25;2017-01-19 02:00:00;117.95
435;-42.75;-14.25;2017-01-19 03:00:00;118.583
436;-42.75;-14.25;2017-01-19 04:00:00;122.06649999999999
437;-42.75;-14.25;2017-01-19 05:00:00;120.58349999999999
438;-42.75;-14.25;2017-01-19 06:00:00;117.767
439;-42.75;-14.25;2017-01-19 07:00:00;113.55
440;-42.75;-14.25;2017-01-19 08:00:00;108.583
441;-42.75;-14.25;2017-01-19 09:00:00;109.0
442;-42.75;-14.25;2017-01-19 10:00:00;104.05
443;-42.75;-14.25;2017-01-19 11:00:00;108.017
444;-42.75;-14.25;2017-01-19 12:00:00;112.18350000000001
445;-42.75;-14.25;2017-01-19 13:00:00;126.06700000000001
446;-42.75;-14.25;2017-01-19 14:00:00;128.9665
447;-42.75;-14.25;2017-01-19 15:00:00;108.06649999999999
448;-42.75;-14.25;2017-01-19 16:00:00;126.0165
449;-42.75;-14.25;2017-01-19 17:00:00;130.18349999999998
450;-42.75;-14.25;2017-01-19 18:00:00;112.2
451;-42.75;-14.25;2017-01-19 19:00:00;112.267
452;-42.75;-14.25;2017-01-19 20:00:00;114.283
453;-42.75;-14.25;2017-01-19 21:00:00;116.6
454;-42.75;-14.25;2017-01-19 22:00:00;114.85
