;Longitude;Latitude;Data;VentoC;Pressao;Temperatura;DirecaoVento
211;-42.75;-14.25;2017-01-09 19:00:00;4.078;881.0;26.05;93.22
212;-42.75;-14.25;2017-01-09 20:00:00;4.294;881.666;25.95;99.55
213;-42.75;-14.25;2017-01-09 21:00:00;4.387;882.0;25.883;115.98
214;-42.75;-14.25;2017-01-09 22:00:00;4.778;882.0;25.484;124.3
215;-42.75;-14.25;2017-01-09 23:00:00;7.268;882.0;22.6;143.3
216;-42.75;-14.25;2017-01-10 00:00:00;8.122;882.0;20.75;117.62
217;-42.75;-14.25;2017-01-10 01:00:00;8.41;881.0;19.334;112.18
218;-42.75;-14.25;2017-01-10 02:00:00;8.15;881.0;18.234;115.75
219;-42.75;-14.25;2017-01-10 03:00:00;8.572;881.0;17.4;110.45
220;-42.75;-14.25;2017-01-10 04:00:00;8.645;881.0;16.784;109.23
221;-42.75;-14.25;2017-01-10 05:00:00;7.41;881.0;16.233;111.6
222;-42.75;-14.25;2017-01-10 06:00:00;6.906;881.5;15.8;116.03
223;-42.75;-14.25;2017-01-10 07:00:00;5.774;882.0;16.95;109.75
224;-42.75;-14.25;2017-01-10 08:00:00;5.895;882.0;18.867;104.2
225;-42.75;-14.25;2017-01-10 09:00:00;6.225;882.0;20.45;105.0
226;-42.75;-14.25;2017-01-10 10:00:00;6.067;882.0;21.8;95.65
227;-42.75;-14.25;2017-01-10 11:00:00;4.246;882.0;23.834;106.05
228;-42.75;-14.25;2017-01-10 12:00:00;3.626;882.0;25.7;129.65
229;-42.75;-14.25;2017-01-10 13:00:00;3.245;881.5;27.3;147.33
230;-42.75;-14.25;2017-01-10 14:00:00;3.118;881.0;27.816;132.33
231;-42.75;-14.25;2017-01-10 15:00:00;4.504;880.0;28.35;156.08
232;-42.75;-14.25;2017-01-10 16:00:00;4.454;880.0;28.883;148.7
233;-42.75;-14.25;2017-01-10 17:00:00;2.61;880.0;28.966;122.0
234;-42.75;-14.25;2017-01-10 18:00:00;2.813;880.0;28.417;121.27
